Um Completo Desconhecido,2024,"7,8/10","Em 1961, um desconhecido Bob Dylan, de 19 anos, chega à cidade de Nova York com seu violão e cria relacionamentos com ícones musicais em sua ascensão meteórica, culminando em uma performance... Ler tudo"
Sonic 3: O Filme,2024,"7,2/10","Sonic, Knuckles e Tails se reúnem contra um novo e poderoso adversário, Shadow, um vilão misterioso com poderes diferentes de tudo o que já enfrentaram antes. Com suas habilidades excepciona... Ler tudo"
Wicked,2024,"7,8/10","Elphaba, uma jovem incompreendida por causa da pele verde, e Glinda, uma jovem popular, se tornam amigas na Universidade de Shiz, na Terra de Oz. Após um encontro com o Maravilhoso Mágico de... Ler tudo"
Bagagem de Risco,2024,"6,5/10",Um viajante misterioso chantageia um jovem agente da TSA (Administração de Segurança dos Transportes) para que ele deixe um pacote perigoso passar pela segurança e entrar em um voo no dia de... Ler tudo
Mufasa: O Rei Leão,2024,"6,7/10","Mufasa, um filhote perdido e sozinho, conhece um simpático leãozinho chamado Taka, o herdeiro de uma linhagem real. O encontro casual dá início a uma jornada transformadora de um grupo de de... Ler tudo"
Pushpa: The Rule - Part 2,2024,"6,3/10",Pushpa struggles to sustain his sandalwood smuggling business in the face of tough opposition from the police.
Nosferatu,2024,"7,7/10","Um conto gótico de obsessão entre uma jovem assombrada na Alemanha do século XIX e o antigo vampiro da Transilvânia que a persegue, trazendo consigo um horror incalculável."
Gladiador II,2024,"6,7/10","Após ter seu lar conquistado pelos imperadores tirânicos que agora comandam Roma, Lucius é forçado a entrar no Coliseu e deve olhar para o seu passado para encontrar força para devolver a gl... Ler tudo"
Operação Natal,2024,"6,4/10","Após um sequestro chocante no Pólo Norte, o Comandante da Força-Tarefa E.L.F. faz uma parceria com o caçador de recompensas mais infame do mundo para salvar o Natal."
A Substância,2024,"7,4/10","Uma celebridade em decadência decide usar uma droga do mercado negro, uma substância que replica células e cria temporariamente uma versão mais jovem e melhor de si mesma."
Batalhão 6888,2024,"6,8/10","855 mulheres se juntaram à guerra para consertar o atraso de três anos de correspondência não entregue. Diante da discriminação e de um país devastado pela guerra, eles conseguiram separar 1... Ler tudo"
Anora,2024,"7,9/10","Anora, uma jovem trabalhadora sexual do Brooklyn, conhece e impulsivamente se casa com o filho de um oligarca. Quando a notícia chega à Rússia, seu conto de fadas é ameaçado quando os pais p... Ler tudo"
Love Me,2024,"5,5/10",Uma história de amor entre um satélite e uma boia.
Canina,2024,"5,6/10","Uma mulher interrompe sua carreira para se tornar uma mãe que fica em casa, mas logo sua vida doméstica dá uma guinada surreal."
Better Man - A História de Robbie Williams,2024,"7,7/10",Um perfil singular do astro pop britânico Robbie Williams.
Gladiador,2000,"8,5/10",Um general romano planeja a melhor vingança contra o imperador corrupto que matou sua familia e o fez escravo.
Herege,2024,"7,0/10",Duas jovens missionárias devotas acabam presas na casa de um homem misterioso. Elas são forçadas a participar de um jogo perturbador que desafia sua fé e põe em xeque tudo o que acreditam.
Conclave,2024,"7,4/10","O Cardeal Lawrence é encarregado de liderar um dos eventos mais secretos e antigos do mundo, a seleção de um novo Papa, onde ele se encontra no centro de uma conspiração que pode abalar os p... Ler tudo"
É Assim que Acaba,2024,"6,4/10","Quando o primeiro amor de uma mulher reaparece em sua vida, seu relacionamento com um charmoso, mas abusivo neurocirurgião é abalado e ela percebe que deve aprender a confiar em sua própria ... Ler tudo"
The Order,2024,"6,8/10",Uma série de assaltos a bancos e carros-fortes assustou as comunidades do noroeste do Pacífico. Um agente solitário do FBI acredita que os crimes não foram obra de criminosos com motivação f... Ler tudo
Moana 2,2024,"7,0/10","Após receber um chamado de seus ancestrais, Moana parte em uma jornada nos mares distantes da Oceania, desbravando águas perigosas, rumo a uma aventura diferente de todas as que já viveu."
"Kraven, o Caçador",2024,"5,4/10","A complexa relação de Kraven com o pai, Nikolai Kravinoff, o leva a uma jornada de vingança com consequências brutais, o motivando a se tornar um dos maiores e mais temidos caçadores do mund... Ler tudo"
